SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
The word is he's stuck with a ton of toxic sub-prime debt off the balance sheet.	He got me a seat at the table. <i> The word is he's stuck with a ton of toxic sub-prime debt off the balance sheet. </i> Billions.	stuck	1	3967329	291	US	2010			
Ainsworth, I'll see you around, man.	""" The Wheel."""" Frosty."" <i> Ainsworth, I'll see you around, man. </i> - Penny!"	around	1	54446	453	US	2000			
We're not gonna take him because he can't hit a curve.	I just got off the phone with Atlanta. <i> We're not gonna take him because he can't hit a curve. </i> The last homer he hit was off a curve.	curve	2	4744540	1378	US	2012	a type of pitch in baseball that is difficult to hit because of its unpredictable movement.		pitch
It might take a hit.	It's just a rumor. <i> It might take a hit. </i> Hear about that African deal?	might take a hit	1	3967329	850	US	2010			
I just wanna light my fag.	- Piss off. <i> I just wanna light my fag. </i> For God's sake.	fag	3	3179568	163	UK	2006	cigarette		cigarette
"And I'll slide in and then I'll walk you round."""	"I'll get your legs. <i> And I'll slide in and then I'll walk you round."" </i> She went,"" All right, I'll do it, as long as you don't go past my mum's!"""	slide	1	3472293	965	UK	2009			
According to the lads, he hasn't been right in the head since the Karachi Club shooting.	He's a knob. <i> According to the lads, he hasn't been right in the head since the Karachi Club shooting. </i> Yeah.	right in the head	1	3472293	356	UK	2009			
I'll come back and I'll bleeding' well haunt you.	And if you ever forget that, act sorry for yourself, <i> I'll come back and I'll bleeding' well haunt you. </i> You understand?	bleeding	2	3670999	1534	UK	2010			
Arsenal have sort of wave after wave of attack.	You're hanging on. <i> Arsenal have sort of wave after wave of attack. </i> And then Giggsy picks the ball up.	wave after wave	1	5778643	748	UK	2013			
I think in our eyes we were just playing a game of football with our mates.	One thing that the times did represent, and in a way those individuals represented, was an understanding that although we lived in more individualistic times, yet there was still a unique capacity to be greater together than you were alone. <i> I think in our eyes we were just playing a game of football with our mates. </i> I know it sounds a bit...	mates	1	5778643	1678	UK	2013			
Well, I think the proposal is perfect as is, so I'm signing off on it.	Yeah, I promise. <i> Well, I think the proposal is perfect as is, so I'm signing off on it. </i> We have a deal.	proposal	1	5905224	1323	US	2012			
I'm taking a huge hit on the loft,	I am in trouble right now. <i> I'm taking a huge hit on the loft, </i> I just sold my bike for nothing and now, again, I'm writing you a check, Mom.	hit	2	3967329	1968	US	2010	an excessive financial expenditure that is typically unavoidable	https://www.urbandictionary.com/define.php?term=taking+hits	loss
You gotta take those shoes off.	All right. <i> You gotta take those shoes off. </i> Thank you.	gotta	1	3151540	277	US	2007			
Get on my back for piggyback ride	Hey, get the Enemy in here. <i> Get on my back for piggyback ride </i> - San Diego!	back	1	54446	409	US	2000			
And when they did, they got the Feds to bail out their bad insurance swaps, a 100 cents on the dollar.	But they knew this home loan fantasy was going to collapse the market. <i> And when they did, they got the Feds to bail out their bad insurance swaps, a 100 cents on the dollar. </i> I mean, talk about an evil empire.	swaps	1	3967329	1759	US	2010			
Yeah, we used to come here every Sunday night.	Yeah. <i> Yeah, we used to come here every Sunday night. </i> You're going to be fine.	yeah	1	3967329	1186	US	2010			
See, when a player gets to the Majors, chicks come out of a deep freeze.	I'll have patience with you since you're not yet worldly. <i> See, when a player gets to the Majors, chicks come out of a deep freeze. </i> They migrate from hundreds of miles.	chicks	3	4744540	510	US	2012	girls or women.	https://www.urbandictionary.com/define.php?term=chick	ladies
Let's bang some music into their ears.	- Oh, I hope so. <i> Let's bang some music into their ears. </i> That'll be good.	bang	2	3179568	1949	UK	2006	make a noise		play
- He don't have to bloody move.	Move, now. <i> - He don't have to bloody move. </i> - Fucking does.	bloody	2	3179568	238	UK	2006			
Milky, man, I know I let you down the other night, but I swear to you I'll never fucking do it again.	Join me. <i> Milky, man, I know I let you down the other night, but I swear to you I'll never fucking do it again. </i> Look at me.	milky	1	3179568	1275	UK	2006			
"She went,"" All right, I'll do it, as long as you don't go past my mum's!"""	"And I'll slide in and then I'll walk you round."" <i> She went,"" All right, I'll do it, as long as you don't go past my mum's!"" </i> To the Super Squad!"	all	1	3472293	966	UK	2009			
- You is a dead man.	- Fuck off, mate. <i> - You is a dead man. </i> - Where's my fucking manager?	you is	1	3670999	1330	UK	2010			
Some kind of mad nutty professor?	What are you? <i> Some kind of mad nutty professor? </i> Will you shut up?	nutty	3	3670999	1155	UK	2010	insane, mentally ill		insane
My dad was a huge Man United fan, all he talked about was United.	We stayed there up until I left for Manchester, which was when I was 15 years old. <i> My dad was a huge Man United fan, all he talked about was United. </i> His favourite player was Bobby Charlton.	huge	1	5778643	1211	UK	2013			
You know, hand on my heart, that bitch gave me my start in music, man, because she put me on the dole straight out of school.	We all grew up as Thatcher's children and... <i> You know, hand on my heart, that bitch gave me my start in music, man, because she put me on the dole straight out of school. </i> And where else would I have got the chance to learn an instrument?	one the dole	1	5778643	627	UK	2013			
come in to the A team and playing games like that,	Having coaches like Nobby that had done what he'd done in football, and then moving up to having someone like Eric, and having the manager around us all the time, playing at The Cliff like we played, and then having players like Bryan Robson <i> come in to the A team and playing games like that, </i> I don't think there's many teams that do that.	a team	1	5778643	312	UK	2013			
The gaffer had been tipped off that me and Sharpey were going out.	Fergie had his little network of guys out there doing just that, didn't he, I suppose, so... <i> The gaffer had been tipped off that me and Sharpey were going out. </i> So he's just totally surprised us, and we're at Sharpey's house...	gaffer	3	5778643	639	UK	2013	usually a father		dad
Feet on the ground Head in the sky	Make it up as we go along <i> Feet on the ground Head in the sky </i> It's okay I know nothing's wrong	in the sky	1	3967329	2308	US	2010			
They're telling me we have to cut staff.	Go ahead, Doc. <i> They're telling me we have to cut staff. </i> We went back to Third Boston, and they turned us down.	cut	1	3967329	772	US	2010			
And frankly, because I'd love to beat the crap out of you on a bike.	Your balls actually attempted it, and your skill pulled it off. <i> And frankly, because I'd love to beat the crap out of you on a bike. </i> Fair enough?	crap	2	3967329	1042	US	2010	feces, but it can also be used to describe something of poor quality or little value.	https://www.greensdictofslang.com/entry/vwxsfki	nonsense
This is a bad time to walk away now.	Get out of the way, Mickey. <i> This is a bad time to walk away now. </i> Move.	walk away	1	4744540	1561	US	2012			
Then he cut us off.	He wouldn't talk about them from that day on, any of them. <i> Then he cut us off. </i> He wouldn't take my calls.	cut us off	2	3151540	1917	US	2007	to stop communicating with someone abruptly, or to discontinue a relationship or connection with them.		disconnect
It's dead in the water.	Babaco is a cow. <i> It's dead in the water. </i> The Chinese aren't stupid.	dead in the water	1	3967329	1258	US	2010			
We haven't seen him hit a baseball all year.	That Billy Clark is a bum. <i> We haven't seen him hit a baseball all year. </i> Come on, Billy.	bum	2	4744540	140	US	2012	a derogatory slang term used to describe a person who is lazy, unreliable, and generally unpleasant.		slacker
You wanna give it a crack?	- She can only say no, mate. <i> You wanna give it a crack? </i> This can be a beautiful thing.	wanna	2	3179568	818	UK	2006	want to, intend to		want to
Now, fuck off back to Woody, you little fucking queer.	Yeah? <i> Now, fuck off back to Woody, you little fucking queer. </i> Go on, fuck off!	queer	1	3179568	1539	UK	2006			
Fuck all, but take fucking jobs off decent people.	What have you fucking done for it? <i> Fuck all, but take fucking jobs off decent people. </i> Now, listen, son, listen good.	fuck all	1	3179568	1653	UK	2006			
Gets involved with this gang knocking off post offices.	Yeah, well, Eric, bent as a twobob note. <i> Gets involved with this gang knocking off post offices. </i> It all goes belly up.	knocking off	2	3472293	718	UK	2009	stealing, stealing from, burgling		burgling
# Hit me, hit me, hit me!	# Ist gut, c'est fantastique <i> # Hit me, hit me, hit me! </i> # Hit me with your rhythm stick	hit me	2	3670999	1198	UK	2010			
Work with me, me old son.	Come on. <i> Work with me, me old son. </i> Look, just...	old son	2	6224678	185	UK	2014			
When you used to jam to that Bruce Springsteen album.	It reminded me of school. <i> When you used to jam to that Bruce Springsteen album. </i> - What was the name of that album?	jam	2	3151540	458	US	2007	a slang term used to describe dancing, or more specifically, dancing in a particularly energetic or enthusiastic way.		dance
- I got it, man, I got it.	Come on. <i> - I got it, man, I got it. </i> - Yeah.	man	1	54446	993	US	2000			
I'm sorry, but could you please fuck off?	Look. <i> I'm sorry, but could you please fuck off? </i> We play for the fans, not the critics.	fuck	1	54446	340	US	2000			
If you get into a jam, you can call me.	Unmerciful. <i> If you get into a jam, you can call me. </i> I stay up late.	jam	3	54446	251	US	2000	a slang term used to describe a difficult or tricky situation, usually involving trouble or danger.	https://www.urbandictionary.com/define.php?term=jam	difficult
Maybe if you smelled it, it'd all come rushing back.	I don't remember jamming to it. <i> Maybe if you smelled it, it'd all come rushing back. </i> - This was fun, man.	smelled it	1	3151540	469	US	2007			
Matt says he can hit the crap out of anything.	We've been tracking him. <i> Matt says he can hit the crap out of anything. </i> This kid's a godsend.	crap	2	4744540	1508	US	2012	nonsense, rubbish; inferior, useless; something worthless, a failure.		garbage
